"","SPCODE","taxa","genus","species","variety","tolerance","native","family","hydrophyte","form","habit","group","shade","clemet.tier","odnr.class","ohio.noxious","clemet.priority","plot","month","year","species.name","cover.mn"
"11","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3367,"August",2010,"Acer_negundo",8.8775
"12","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1074,"August",2010,"Acer_negundo",3.5
"13","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3381,"August",2010,"Acer_negundo",35.75
"14","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1071,"August",2010,"Acer_negundo",14.25
"15","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1086,"August",2010,"Acer_negundo",50.625
"16","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3370,"August",2010,"Acer_nigrum",12
"17","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1039,"July",2010,"Acer_nigrum",0.8775
"18","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1068,"July",2010,"Acer_nigrum",1.25
"19","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1082,"August",2010,"Acer_nigrum",1.375
"20","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1053,"July",2010,"Acer_nigrum",85.375
"21","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1071,"August",2010,"Acer_nigrum",41.25
"22","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1034,"July",2010,"Acer_nigrum",3.75
"23","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3389,"August",2010,"Acer_nigrum",5.25
"24","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3396,"August",2010,"Acer_nigrum",0.375
"25","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1004,"June",2010,"Acer_nigrum",0.666666667
"26","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1010,"June",2010,"Acer_nigrum",1.875
"27","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1045,"July",2010,"Acer_nigrum",9.5
"28","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1031,"June",2010,"Acer_nigrum",0.0025
"29","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1018,"July",2010,"Acer_nigrum",97
"30","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1005,"June",2010,"Acer_nigrum",0.375
"31","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1030,"July",2010,"Acer_nigrum",62.5
"32","ACENIG","Acer_nigrum","Acer","nigrum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1098,"August",2010,"Acer_nigrum",39.375
"33","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,1033,"June",2010,"ACER_PLATANOIDES",0.0025
"34","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,1052,"July",2010,"ACER_PLATANOIDES",0.0025
"35","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,1030,"July",2010,"Acer_platanoides",0.375
"36","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,1026,"June",2010,"Acer_platanoides",1.25
"37","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,3980,"September",2010,"ACER_PLATANOIDES",3.75
"38","ACEPLA","Acer_platanoides","Acer","platanoides",NA,"tolerant","adventive","Aceraceae","upland","tree","W","DI","advent",2,NA,FALSE,TRUE,1094,"August",2010,"Acer_platanoides",44.375
"39","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1031,"June",2010,"Acer_rubrum",1.875
"40","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1026,"June",2010,"Acer_rubrum",2.125
"41","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1028,"June",2010,"Acer_rubrum",59.75
"42","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1376,"July",2010,"Acer_rubrum",35.25
"43","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1067,"July",2010,"Acer_rubrum",76.75
"44","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1035,"June",2010,"Acer_rubrum",43.75
"45","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1024,"June",2010,"Acer_rubrum",1.75
"46","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1017,"June",2010,"Acer_rubrum",2.25
"47","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3364,"August",2010,"Acer_rubrum",48.125
"48","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1058,"July",2010,"Acer_rubrum",1.875
"49","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1006,"June",2010,"Acer_rubrum",56.25
"50","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1038,"July",2010,"Acer_rubrum",13.75
"51","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1045,"July",2010,"Acer_rubrum",36.25
"52","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1019,"June",2010,"Acer_rubrum",46.625
"53","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1022,"June",2010,"Acer_rubrum",20
"54","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1388,"August",2010,"Acer_rubrum",47.375
"55","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1100,"August",2010,"Acer_rubrum",79.375
"56","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1004,"June",2010,"Acer_rubrum",8.5
"57","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1002,"June",2010,"Acer_rubrum",0.005
"58","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3365,"August",2010,"Acer_rubrum",10.625
"59","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1057,"July",2010,"Acer_rubrum",18.375
"60","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1044,"July",2010,"Acer_rubrum",9.125
"61","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3385,"August",2010,"Acer_rubrum",0.5
"62","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1014,"July",2010,"Acer_rubrum",0.25
"63","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1099,"August",2010,"Acer_rubrum",17.5
"64","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1089,"August",2010,"Acer_rubrum",1.875
"65","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1092,"August",2010,"Acer_rubrum",25.75
"66","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1136,"August",2010,"Acer_rubrum",53.75
"67","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1041,"July",2010,"Acer_rubrum",4.5
"68","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1025,"June",2010,"Acer_rubrum",15
"69","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1055,"July",2010,"Acer_rubrum",17.875
"70","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1047,"July",2010,"Acer_rubrum",8.75
"71","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1080,"August",2010,"Acer_rubrum",6.25
"72","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1052,"July",2010,"Acer_rubrum",4.5
"73","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3484,"July",2010,"Acer_rubrum",56.25
"74","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3409,"August",2010,"Acer_rubrum",61.875
"75","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3396,"August",2010,"Acer_rubrum",20
"76","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1008,"June",2010,"Acer_rubrum",64.875
"77","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1040,"July",2010,"Acer_rubrum",79.375
"78","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1012,"June",2010,"Acer_rubrum",8.75
"79","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1065,"July",2010,"Acer_rubrum",4.625
"80","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1091,"August",2010,"Acer_rubrum",13.75
"81","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1064,"July",2010,"Acer_rubrum",30.625
"82","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1060,"July",2010,"Acer_rubrum",25.625
"83","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1003,"July",2010,"Acer_rubrum",5.625
"84","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1070,"August",2010,"Acer_rubrum",38.75
"85","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1072,"June",2010,"Acer_rubrum",94
"86","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1015,"June",2010,"Acer_rubrum",97
"87","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3420,"August",2010,"Acer_rubrum",2.75
"88","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1093,"August",2010,"Acer_rubrum",44.375
"89","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1081,"August",2010,"Acer_rubrum",0.125
"90","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1083,"August",2010,"Acer_rubrum",46.25
"91","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1013,"June",2010,"Acer_rubrum",0.875
"92","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1061,"July",2010,"Acer_rubrum",67.5
"93","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1048,"July",2010,"Acer_rubrum",94
"94","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3732,"July",2010,"Acer_rubrum",30
"95","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3370,"August",2010,"Acer_rubrum",0.375
"96","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3596,"August",2010,"Acer_rubrum",43.125
"97","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1009,"June",2010,"Acer_rubrum",0.875
"98","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3386,"August",2010,"Acer_rubrum",3.625
"99","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3668,"August",2010,"Acer_rubrum",54.75
"100","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3369,"August",2010,"Acer_rubrum",16
"101","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1068,"July",2010,"Acer_rubrum",9.5
"102","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1050,"July",2010,"Acer_rubrum",3.875
"103","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1082,"August",2010,"Acer_rubrum",4.5
"104","ACERUB","Acer_rubrum","Acer","rubrum",NA,"tolerant","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3368,"August",2010,"Acer_rubrum",79.125
"105","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,3732,"July",2010,"Acer_saccharinum",0.375
"106","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,1024,"June",2010,"Acer_saccharinum",0.0025
"107","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,1040,"July",2010,"Acer_saccharinum",13.75
"108","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,1058,"July",2010,"Acer_saccharinum",1.875
"109","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,3389,"August",2010,"Acer_saccharinum",4.5
"110","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,1052,"July",2010,"Acer_saccharinum",46.625
"111","ACESAC","Acer_saccharinum","Acer","saccharinum",NA,"midrange","native","Aceraceae","hydrophyte","tree","W","DI","tree",NA,NA,NA,NA,1070,"August",2010,"Acer_saccharinum",9.875
"112","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1033,"June",2010,"Acer_saccharum",36.875
"113","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1071,"August",2010,"Acer_saccharum",5.25
"114","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1041,"July",2010,"Acer_saccharum",79.375
"115","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1075,"August",2010,"Acer_saccharum",65.66666667
"116","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1021,"July",2010,"Acer_saccharum",40.625
"117","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1081,"August",2010,"Acer_saccharum",67.5
"118","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1030,"July",2010,"Acer_saccharum",15
"119","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3370,"August",2010,"Acer_saccharum",79.375
"120","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1038,"July",2010,"Acer_saccharum",18.7525
"121","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1031,"June",2010,"Acer_saccharum",86.25
"122","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1017,"June",2010,"Acer_saccharum",36.25
"123","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1083,"August",2010,"Acer_saccharum",20
"124","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3369,"August",2010,"Acer_saccharum",50.625
"125","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1018,"July",2010,"Acer_saccharum",0.125
"126","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1019,"June",2010,"Acer_saccharum",5.625
"127","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1069,"July",2010,"Acer_saccharum",33.75
"128","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1082,"August",2010,"Acer_saccharum",49.375
"129","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3365,"August",2010,"Acer_saccharum",73.125
"130","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3364,"August",2010,"Acer_saccharum",14
"131","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1026,"June",2010,"Acer_saccharum",94
"132","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1028,"June",2010,"Acer_saccharum",34.625
"133","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1008,"June",2010,"Acer_saccharum",56.875
"134","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1005,"June",2010,"Acer_saccharum",91
"135","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3386,"August",2010,"Acer_saccharum",85
"136","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,3376,"August",2010,"Acer_saccharum",50.625
"137","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1013,"June",2010,"Acer_saccharum",67.5
"138","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1087,"August",2010,"Acer_saccharum",61.875
"139","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1073,"July",2010,"Acer_saccharum",4.375
"140","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1014,"July",2010,"Acer_saccharum",0.75
"141","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1064,"July",2010,"Acer_saccharum",85.375
"142","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1002,"June",2010,"Acer_saccharum",94
"143","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1047,"July",2010,"Acer_saccharum",55.625
"144","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1097,"August",2010,"Acer_saccharum",11.5
"145","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1022,"June",2010,"Acer_saccharum",11
"146","ACESAR","Acer_saccharum","Acer","saccharum",NA,"midrange","native","Aceraceae","upland","tree","W","DI","tree",NA,NA,NA,NA,1025,"June",2010,"Acer_saccharum",88
